Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
87,122,209Fr,3415.9 (6),33/2(),~ 62 ns,181.4(3),E1
87,122,209Fr,4659.8 (7),45/2,420(18) ns,"335.5(3)?
620.2(3)",E3
88,121,209Ra,882.4 (7),13/2+,117(5) μs,238.4(5),M2
80,130,210Hg,663.0 (20) ?,(3),2.1(7) μs,"20?
663",
80,130,210Hg,1366+X,(8+),2(1) μs,,
82,128,210Pb,1195 (4),6+,49(6) ns,97(3),
82,128,210Pb,1278 (5),8+,201(17) ns,83(3),
83,127,210Bi,271.31 (11),9,3.04E+6(6) y,,
83,127,210Bi,433.48 (12),7,57.5(10) ns,162.19(5),
83,127,210Bi,439.24 (4),5,38(1) ns,91.32(8),
84,126,210Po,1473.357 (21),6+,42.6(10) ns,46.85(5),E2
84,126,210Po,1556.97 (3),8+,98.9(25) ns,83.54(8),E2
84,126,210Po,2849.17 (4),11,19.6(4) ns,"661.17(3)
1292.20(1)","E3
E3"
84,126,210Po,4371.96 (4),13,54.4(24) ns,"47.8
1522.79(2)",E2
84,126,210Po,5057.65 (5),16+,263(5) ns,"279.89(10)
685.69(2)","M2
E3"
85,125,210At,1363.2 (2),(11)+,24.8(7) ns,111.3,E2
85,125,210At,1688.7 (3),(10),15.5(10) ns,"193.5
325.3
436.6","E1
E1"
85,125,210At,2549.6 (2),(15),0.482(6) μs,"579.5
644.3","E3
E3"
85,125,210At,4027.7 (2),(19)+,5.66(7) μs,"372.3
485.2
611.8
920.4","E3
M2"
85,125,210At,6959.3 (6),(26),98(2) ns,435,
85,125,210At,7847.3 (6),(29+),36.0(14) ns,888,
86,124,210Rn,1664.6+X,(8+),644(40) ns,,
86,124,210Rn,2562.31+X,(11),64(3) ns,"185.5(1)
897.6(2)","E1
(E3)"
86,124,210Rn,3248.06+X,(14)+,76(7) ns,325.4(1),E2
86,124,210Rn,3812.40+X,(17),1.06(5) μs,564.3(1),E3
86,124,210Rn,4993.43+X,(20)+,12.3(9) ns,1181.0(1),E3
86,124,210Rn,6469.02+X,23+,1.04(7) μs,"433.0(1)
602.7(1)","E2
E2"
86,124,210Rn,7311.02+X,26,34(2) ns,"415.9(1)
842.0(1)",E3
87,123,210Fr,0+X,,0.36(14) μs,,
87,123,210Fr,729.1 (23),(9,41(2) ns,203.4(23),
88,122,210Ra,2050.9 (7),8+,2.1(1) μs,95.7(5),E2
82,129,211Pb,1193.1 (4),(21/2+),42(7) ns,137.4(2),E2
82,129,211Pb,1679.1+X,(27/2+),159(28) ns,,
83,128,211Bi,1227.2 (3),(21/2),70(5) ns,97.4(3),(E2)
83,128,211Bi,1257 (10),(25/2),1.4(3) μs,30?,
84,127,211Po,1064.8 (4),15/2,14.0(2) ns,"377.6(5)
1064.9(5)","M2
E3"
84,127,211Po,1427.8+X,,25.0(14) ns,,
84,127,211Po,1462 (5),(25/2+),25.2(6) s,34(5)?,(E4)
84,127,211Po,2135 (5),(31/2),243(21) ns,"315.4(5)
672.7(5)","(M2)
E3"
84,127,211Po,4872 (6),(43/2+),2.8(7) μs,508.6(5),
85,126,211At,1270.09 (17),(15/2),12.1(15) ns,"146.8(2)
203.3(2)","E2
E2"
85,126,211At,1416.27 (25),(21/2),35.1(7) ns,95.9(2),E2
85,126,211At,2640.7 (4),(29/2)+,50.8(7) ns,"24.4(5)?
713.3(2)",E3
85,126,211At,4814.5 (5),(39/2),4.23(7) μs,435.2(2),E3
85,126,211At,6567.2 (6),(49/2+),50.6(14) ns,549.9(2),E2
85,126,211At,7517.4 (6),(55/2),24.3(14) ns,950.2(2),
86,125,211Rn,1577.8+X,(17/2),596(28) ns,,E2
86,125,211Rn,3926.0+X,(35/2+),40.2(14) ns,"52.1?
81.7(2)",E2
86,125,211Rn,5245.9+Y,(43/2),14(2) ns,,
86,125,211Rn,6100.1+Y,(49/2+),28.4(14) ns,"366.3(2)
854.3(2)","M2
E3"
86,125,211Rn,8854.5+Y,(63/2),201(4) ns,687.0(2),E3
87,124,211Fr,2423.16 (24),(29/2+),146(14) ns,"112.9(1)
563.3(3)","(E2)
(E3)"
87,124,211Fr,4657.3 (4),(45/2),123(14) ns,728.4(2),E3
88,123,211Ra,1198.1 (8),(13/2+),9.4(4) μs,396.1(6),M2
82,130,212Pb,1335 (10) ?,(8+),6.0(8) μs,56(10)?,
83,129,212Bi,239 (30),"(8
9)",25.0(2) min,,M1
83,129,212Bi,1478 (30),(18),7.0(3) min,,M2
84,128,212Po,1476.43 (18),8+,14.7(3) ns,120.9(1),E2
84,128,212Po,2922 (15),(18+),45.1(6) s,36(15)?,
85,127,212At,223 (7),(9),0.119(3) s,,
85,127,212At,275.5 (5),(5),32(1) ns,69.9,(E2)
85,127,212At,885.4 (4),(11+),18.7(7) ns,"183.7
662.4","(E1)
M2"
85,127,212At,1604.5 (7),(15),35.4(14) ns,63.9,(E2)
85,127,212At,2250.0 (8),(18+),42(2) ns,"37.7?
295.4
486
645.5","(E2)
M2
E3"
85,127,212At,4771.6 (11),(25),152(5) μs,224.2,E3
86,126,212Rn,1639.8 (3),6+,118(14) ns,138.30(10),E2
86,126,212Rn,1694.0 (4),8+,0.91(3) μs,54.2(2),(E2)
86,126,212Rn,4066.8 (5),17,28.9(14) ns,"75.7(2)
709.2(2)","(E2)
E3"
86,126,212Rn,6174.0 (4),22+,104.0(28) ns,"7.5?
402.5(3)
747.3(1)","E2
E3
E2"
86,126,212Rn,7141.8 (5),25,18.0(6) ns,"432.5(2)
967.8(1)","M2
E3"
86,126,212Rn,7878.1 (5),27,14(4) ns,"15.5?
59.2?
353.8(3)
736.3(1)","M1
M1
E2
E2"
86,126,212Rn,8579.0 (5),30+,154(14) ns,"21.9?
81.9?
700.9(1)","(E2)
E2
E3"
86,126,212Rn,10619.3 (5),34,~ 20 ns,923.7(1),
86,126,212Rn,12211.1 (5),(37),17.3(14) ns,"158.4(3)
856.7(2)
949.5(3)",
87,125,212Fr,1551.4 (3),(11+),31.9(7) μs,162.0(1),(E2)
87,125,212Fr,2492.2 (4),(15),604(28) ns,612.4(1),E3
87,125,212Fr,5854.7 (6),(27),312(21) ns,588.3(2),E3
87,125,212Fr,8533.4 (11),,23.6(21) μs,"126
278",(E3)
88,124,212Ra,1958.4 (5),(8)+,7.1(2) μs,63.3,
88,124,212Ra,2613.4 (5 ),(11),0.48(4) μs,"504.8
655","(E3)
(E3)"
85,128,213At,1318.1+X,,110(17) ns,,
85,128,213At,1319+Y,(27/2),85 ns,,
85,128,213At,1838+Y,(33/2+),82 ns,"156
520",
85,128,213At,2620+Y,(43/2),34.7 ns,50?,
85,128,213At,2926+Y,(49/2+),45(4) μs,306,(E3)
86,127,213Rn,896.1 (8),(15/2),26(1) ns,"191.1
896.1","M2
E3"
86,127,213Rn,1664.0 (10),(21/2+),29(2) ns,"135.0
767.9","E2
(E3)"
86,127,213Rn,2186.7+X,(31/2),1.36(7) μs,"65.1?
330.1
522.7","(E3)
E3"
86,127,213Rn,3029.3+X,(37/2+),26(1) ns,"45.3
113.5
842.6?","E2
E2"
86,127,213Rn,3495.4+X,(43/2),28(1) ns,54.3,E2
86,127,213Rn,4505.5+X,(49/2+),12(1) ns,"457.6
1010.1",E3
86,127,213Rn,5929+Y,(55/2+),164(11) ns,,
86,127,213Rn,6744.00+Y,,59 ns,815.0(2),
87,126,213Fr,1411.01 (15),17/2,18(1) ns,222.2(1),E2
87,126,213Fr,1590.41 (18),21/2,505(14) ns,179.4(1),E2
87,126,213Fr,2537.62 (23),29/2+,238(6) ns,681.3(1),E3
87,126,213Fr,4992.7 (4),45/2,13(2) ns,"94.4(3)
909.8(2)","E2
E3"
87,126,213Fr,8094.8 (7),(65/2),3.1(2) μs,"111.3(2)
371.2(2)",(E3)
88,125,213Ra,1770 (7),(17/2,2.20(5) ms,161(7)?,
90,123,213Th,1180.0 (15),(13/2)+,1.4(4) μs,381(1),M2
82,132,214Pb,1420 (35) ?,(8+),6.2(3) μs,55(35)?,
85,129,214At,59 (9) ?,,265(30) ns,,
85,129,214At,232 (6),9,760(15) ns,,
86,128,214Rn,3490.1,18+,44(3) ns,162.2,E2
86,128,214Rn,4595.4 (18),(22+),245(30) ns,767.7,(M2)
87,127,214Fr,122 (5),(8),3.35(5) ms,,
87,127,214Fr,638 (5),(11+),103(4) ns,"471.7(1)
516.6(2)",M2
87,127,214Fr,1661 (5),(14),11(2) ns,"63.9(2)
580.6(2)
1023.1(2)","M1
M2
E3"
87,127,214Fr,1732 (5),(15),10(2) ns,"71.4(2)
135.1(2)","M1
E2"
87,127,214Fr,3566+X,(24+),~ 10 ns,"45.3(3)
300.6(2)",M1
87,127,214Fr,6477+Y,(33+),108(7) ns,"114.7(5)
296.3(2)","E2, M1
M1(+E2)"
88,126,214Ra,1639.3,4+,35.1(3) ns,256.9,E2
88,126,214Ra,1819.7 (18),6+,118(7) ns,180.4,E2
88,126,214Ra,1865.2 (18),8+,67.3(15) μs,45.5,E2
88,126,214Ra,2683.2 (18),11,295(7) ns,"609.3
818","E3
E3"
88,126,214Ra,3478.4 (18),14+,279(4) ns,"148.9
222.1","E2
E2"
88,126,214Ra,4146.8 (18),17,225(4) ns,"156.6
668.4","E2
E3"
88,126,214Ra,6577.0 (18),(25),128(4) ns,46.8,E1
90,124,214Th,2181.0 (27),(8+),1.24(12) μs,89(2),(E2)
83,132,215Bi,1347.50+X,"(25/2−
to
29/2)",36.9(6) s,,
86,129,215Rn,1804.8+X,,57(+2112) ns,,
87,128,215Fr,3068.9 (4),(39/2),14.6(14) ns,"262.01(15)
817.53(15)","E2
(E3)"
87,128,215Fr,3462.3 (6),(47/2+),22.9(21) ns,45.2(3),(E1)
88,127,215Ra,773.0 (2),(15/2),67.2(14) ns,773.0(2),E3
88,127,215Ra,1821.2 (3),(21/2+),25.0(14) ns,"196.0(2)
1048.2(2)","E2
E3"
88,127,215Ra,1877.8 (3),(25/2+),7.29(20) μs,56.5(2),E2
88,127,215Ra,2246.9 (4),(29/2),1.39(7) μs,"32.5?
193.1(2)
369.1(2)","M2(+E3)
M2+E3"
88,127,215Ra,3756.6+X,(43/2),555(10) ns,"18.0?
425.5(2)",E3
88,127,215Ra,4567.0+X,(49/2+),10.47(14) ns,"13.5?
200.1(2)
810.2(2)","(E2)
(E3)"
89,126,215Ac,1621.0 (7),(17/2,30(10) ns,304.0(5),(E2)
89,126,215Ac,1796.0 (9),(21/2,185(30) ns,175.0(5),(E2)
89,126,215Ac,2438+X,(29/2+),335(10) ns,642.0(5),(E3)
90,125,215Th,1421.3+X ?,,0.77(6) μs,,
82,134,216Pb,1514 (35) ?,(8+),0.40(4) μs,55(35)?,
83,133,216Bi,24 (19),(3),6.6(21) min,,
87,129,216Fr,133.3 (1),(3),71(5) ns,133.3(1),E2
87,129,216Fr,219 (6),(9),850(30) ns,,
89,127,216Ac,48 (7),(9),441(7) μs,,
89,127,216Ac,322+X,,~ 300 ns,322,
90,126,216Th,2040 (9),8+,134(4) μs,,
90,126,216Th,2646.8 (1),11,0.58(3) μs,"516.3(2)
606.8(1)",E3
90,126,216Th,3681.4 (7),(14+),0.74(7) μs,151.2(6),E2
92,124,216U,2240 (42),(8+),0.74(+13429) ms,,
83,134,217Bi,1436+X,(25/2),3.0(2) μs,,
89,128,217Ac,2013,(29/2)+,740(40) ns,"96
220","E1+M2
M2"
90,127,217Th,2251.9+X,(25/2+),67(+1711) μs,,
91,126,217Pa,~ 1850,,1.2(2) ms,,
87,131,218Fr,86 (8),"(8,9)",22.0(5) ms,,
89,129,218Ac,384.49+Y,(11+),103(11) ns,"91.0(2)
384.5(2)","(E1)
M2"
92,126,218U,2105 (19),(8+),0.56(+2614) ms,,
86,133,219Rn,4.47 (1),(9/2)+,15.4(13) ns,4.4(10),(E2)
89,133,222Ac,0+X,,63(3) s,,
89,138,227Ac,27.37 (1),3/2+,38.3(3) ns,27.36(1),E1
88,141,229Ra,142.67 (6),1/2+,17.23(12) ns,"35.6
142.7(1)","(E2)
E2"
90,139,229Th,0.0076 (5),(3/2+),>1 min,,
91,138,229Pa,11.6 (3),3/2−,420(30) ns,11.6(3),E1
88,143,231Ra,66.21 (9),(1/2+),~ 53 μs,66.2(1),E2
89,142,231Ac,116.00 (7),(3/2,14.3(11) ns,"41.27(5)
47.45(5)
54.29(5)
77.97(6)","E1
E1"
91,140,231Pa,84.2148 (13),5/2+,45.1(13) ns,"25.64(2)
84.2140(13)","E1
E1"
90,143,233Th,1.85E+3 (25),,50(+5049) ns,,
91,142,233Pa,86.468 (9),5/2+,35.7(10) ns,"29.374(20)
86.477(10)","E1
E1"
91,143,234Pa,73.92+X,(0),1.159(11) min,<10?,
92,142,234U,1421.257 (17),6,33.5(20) μs,"143.78(2)
159.48(2)
226.50(3)
249.22(1)
293.79(5)
295.91(8)
330.40(5)
351.9(1)
397.7(3)
458.68(5)
1125.2(1)
1277.7(2)","(M1+E2)

M1+E2
E1
M1+E2


E2

M1+E2"
92,143,235U,0.0765 (4),1/2+,~ 26 min,0.0765(4),E3
92,143,235U,2.5E+3 (3),,3.6(18) ms,,
94,141,235Pu,3.0E+3 (2),,25(5) ns,,
92,144,236U,1052.5 (6),(4),100(4) ns,"65(1)
204.6(10)
307.9(10)
903.2(10)","(E2)
(E2)
E2+M1
E1"
92,144,236U,2750 (3),(0+),120(2) ns,"560(10)
1170(10)
1783(10)
2062(10)
~ 2705",
93,143,236Np,0+X,1,22.5(4) h,,
94,142,236Pu,1185.45 (15),5,1.2(3) μs,"319.50(11)
879.7(2)
1037.8(2)",M1
94,142,236Pu,4.0E+3 (2),,34(8) ns,,
95,141,236Am,X,(1),2.9(2) min,,
92,145,237U,274.0 (10),(7/2),155(6) ns,114.0(10),E1
93,144,237Np,59.54092 (10),5/2,67.2(7) ns,"26.3446(2)
59.5409(1)","E1
E1"
93,144,237Np,945.20 (10),"11/2,
13/2",0.71(4) μs,"640.4(3)
675.6(4)
719.2(2)
753.6(2)
786.8(2)
815.3(2)",
93,144,237Np,2.8E+3 (4),,45(5) ns,,
94,143,237Pu,145.543 (8),1/2+,0.18(2) s,145.542(8),E3
94,143,237Pu,26.0E+2 (20),,97(4) ns,,
94,143,237Pu,29.0E+2 (25),,1.1(1) μs,,
92,146,238U,2557.9 (5),0+,280(6) ns,"1879
2512.7(5)
2558(2)",E0
93,145,238Np,2300,,112(39) ns,,
95,143,238Am,~ 2500,,35 μs,,
92,147,239U,133.7991 (10),1/2+,0.78(4) μs,133.799(1),E2
92,147,239U,0+X,(5/2+),> 0.25 μs,,"708.2
1600.3"
94,145,239Pu,391.584 (3),7/2,193(4) ns,"4.2?
61.460(2)
106.125(2)
315.880(3)
334.310(3)","E1
E1(+M2)
E1(+M2)
E1(+M2)"
94,145,239Pu,31.E+2 (2),(5/2+),7.5(10) μs,,
93,147,240Np,0+X,(1+),7.22(2) min,,
94,146,240Pu,1308.74 (5),(5),165(10) ns,"147.20(10)
193.30(10)
271.30(10)
306.80(10)
566.34(6)
1014.40(10)
1167.10(10)","(M1, E2)
(M1, E2)
(M1, E2)
(E2)
(M1, E2)"
95,145,240Am,3.0E+3 (2),,0.94(4) ms,,
96,144,240Cm,~ 3000,,55(12) ns,,
94,147,241Pu,161.6852 (9),1/2+,0.88(5) μs,161.685(1),E2
94,147,241Pu,~ 2200,,21(3) μs,,
94,147,241Pu,2200+X,,32(5) ns,,
95,146,241Am,~ 2200,,1.2(3) μs,,
96,145,241Cm,~ 2300,,15.3(10) ns,,
93,149,242Np,0+Y,(6+),5.5(1) min,,
94,148,242Pu,~ 2000+Y,,28 ns,,
95,147,242Am,48.60 (5),5,141(2) y,48.63(5),E4
95,147,242Am,2200 (80),"(2+,
3)",14.0(10) ms,2200(80)?,
96,146,242Cm,~ 2800,,180(70) ns,,
97,145,242Bk,0+Y,,600(100) ns,,
94,149,243Pu,383.64 (25),(1/2+),0.33(3) μs,96.2(2),
94,149,243Pu,1.7E+3 (3),,46(13) ns,,
95,148,243Am,2.3E+3 (2),,5.5(5) μs,,
96,147,243Cm,87.4 (1),1/2+,1.08(3) μs,87.4(1),E2
96,147,243Cm,1.9E+3 (3),,42(6) ns,,
95,149,244Am,88.6 (17),1+,26(1) min,,
95,149,244Am,0+X,,0.90(15) ms,,
95,149,244Am,0+Y,,~ 6.5 μs,,
96,148,244Cm,1040.188 (12),6+,34(2) ms,"538.400(16)
743.971(5)
897.848(7)","(E2)
M1+E2
E2"
97,147,244Bk,0+X,,820(60) ns,,
94,151,245Pu,264.5 (3),5/2+,0.33(2) μs,70.4(2),M1
94,151,245Pu,2.0E+3 (4),,90(30) ns,,
95,150,245Am,2.4E+3 (4),,640(60) ns,,
96,149,245Cm,355.92 (10),1/2+,0.29(2) μs,103.1(1),E2
96,149,245Cm,2.1E+3 (3),,13.2(18) ns,,
101,144,245Md,~ 300,(7/2),0.35(+2316) s,,
95,151,246Am,0+X,2(),25.0(2) min,,
95,151,246Am,~ 2000,,73(10) μs,,
98,148,246Cf,~ 2500,,45(10) ns,,
101,145,246Md†,"0+X
0+Y",,"0.9(2) s
4.4(8) s",,
96,151,247Cm,227.38 (2),5/2+,26.3(3) μs,"165.70(5)
227.38(2)","E3
M2+E3"
96,151,247Cm,404.90 (3),1/2+,100.6(6) ns,177.52(2),E2
100,147,247Fm,45 (7),(1/2+),5.1(2) s,,
101,146,247Md,0+X,(1/2),250(40) ms,,
97,151,248Bk,0+X,1(),23.7(2) h,,
96,153,249Cm,48.76 (4),7/2+,23 μs,22.530?,
96,153,249Cm,375.23 (13),(11/2),19(1) ns,"192.5(1)
265.7(1)","(E1)
(E1)"
97,152,249Bk,8.777 (14),3/2,0.3 ms,,
98,151,249Cf,144.98 (5),5/2+,45(5) μs,144.99(6),M2+E3
101,148,249Md†,0+X,"(7/2)
(1/2)","21.7(20) s
1.9(9) s",,
97,153,250Bk,35.59 (10),4+,29(1) μs,"1.12?
35.59",(M2)
97,153,250Bk,83.88 (18),7+,213(8) μs,6.1?,
97,153,250Bk,97.48 (10),5,38(5) ns,61.89(1),(E1)
97,153,250Bk,175.13,1+,42(2) ns,"50.12
71.30
175.12","(E1)
(E1)"
99,151,250Es,0+X,1(),2.22(5) h,,
100,150,250Fm,1199.2 (16),(8),1.92(5) s,"23?
682.3(5)",
102,148,250No,0+X*,(6+),46(+2214) μs,,
97,154,251Bk,35.5 (13),(7/2+),58(4) μs,35.5?,
98,153,251Cf,106.309 (18),7/2+,38(2) ns,"0.57?
58.48(2)
81.48(2)","M1(+E2)
E2"
98,153,251Cf,370.47 (3),11/2,1.3(1) μs,"45.2(1)
131.13(5)
204.17(2)
264.15(3)","E1
E1"
100,151,251Fm,200.0 (1),5/2+,21.1(19) μs,200.0(1),M2
100,151,251Fm,391.8 (2),1/2+,22(3) ns,192.0(2),(E2)
102,149,251No,106 (6),(1/2+),1.02(3) s,,
102,149,251No,1699.2+X,,~ 2 μs,,
102,150,252No,1253.1 (19),8,109(3) ms,710,
100,153,253Fm,211+X,11/2,0.56(6) μs,"76.8
150.5(5)","(E1)
(E1)"
102,151,253No,167.5 (5),5/2+,31.1(21) μs,167.5(5),M2
102,151,253No,1440+X,,627(5) μs #,,
103,150,253Lr,0+Y,(1/2),1.49(+3021) s,,
104,149,253Rf†,"0+X
0+Y",(7/2+),"11(+6−3) ms
48(1710) μs",,
,,,,,,,
99,155,254Es,84.2 (25),2+,39.3(2) h,,
101,153,254Md†,"0+X
0+Y",,"10(3) min
28(8) min",,
102,152,254No,0+X,,0.28 (4) s,,
102,152,254No,1297.1 (17),8,263(2) ms,"53(1)
778(1)",
103,152,255Lr,38 (10),[7/2],2.54(5) s,,
103,152,255Lr,878.8+Y,(19/2),≥ 10 ns,28?,
103,152,255Lr,1408.6+Y,(25/2+),1.70(3) ms,"243.9(3)
300.6(3)",
104,151,255Rf,(~135),(5/2+),50(17) μs *,,
99,157,256Es,0+X,(8+),7.6 h,,
100,156,256Fm,1425.5,(7),70(5) ms,"96.8
211.2?
275.3?
302.0
380.0
861.8
1092.9",
104,152,256Rf,~ 1120,(5),25(2) μs,,
104,152,256Rf,~ 1400,(8),17(2) μs,,
104,152,256Rf,> 2200,,27(5) μs,,
104,153,257Rf,73 (11),(11/2),4.4(4) s,,
104,153,257Rf,1083.2 (17),21/2+,106(6) μs,"295.6(7)
446.8(7)
586.1(13)",
105,152,257Db,~ 370,(1/2),0.67(6) s,,
101,157,258Md,0+X,,57.0(9) min,,
105,153,258Db,0+Y,,20(10) s,,
106,153,259Sg,~90,(1/2+),226(27) ms *,,
104,157,261Rf,0+X,,78(+116) s,,
