Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
36,47,83Kr,41.5569 (10),1/2,1.85(3) h,32.1498(8),E3
37,46,83Rb,5.26 (4),3/2,71.5(8) ns,5.23(9),M1
37,46,83Rb,42.11 (4),9/2+,≥ 0.3 ms *,42.33(15),M2
38,45,83Sr,259.15 (9),1/2,4.95(12) s,259.10(10),E3
39,44,83Y,61.98 (11),3/2,2.85(2) min,,E3
40,43,83Zr,52.72 (5),(5/2),0.53(12) μs,52.70(5),E2
40,43,83Zr,77.04 (7),(7/2+),132(55) ns,24.30(5),E1
35,49,84Br,3.2E+2 (10),(6),6.0(2) min,,
36,48,84Kr,3236.07 (18),8+,1.83(4) μs,63.5(1),E2
36,48,84Kr,5373.4 (4),12+,43.7(21) ns,169.3,E2
37,47,84Rb,463.59 (8),6,20.26(4) min,"215.61(10)
463.62(10)","M3+E4
E4"
37,47,84Rb,543.28 (12),(5+),11(1) ns,"70.7(2)
76.4(2)
79.8(1)",
39,45,84Y,67.0 (2),1+,4.6(2) s,,
39,45,84Y,112.40 (15),(4+),79(2) ns,112.4(2),E2
39,45,84Y,156.70 (9),(8+),14.6(7) ns,156.7(1),E2
39,45,84Y,162.88 (10),(5),32(4) ns,162.9(1),(E1)
39,45,84Y,210.42 (16),(4),292(10) ns,"61.7(2)
80.0(2)
98.1(2)","(E1)
E2
(E1)"
39,45,84Y,216.11 (9),(5),18.7(21) ns,216.1(1),(E1)
41,43,84Nb,48.0 (3),(3+),176(46) ns,47.9,E2
41,43,84Nb,305.2 (4),(5+),50(8) ns,"143.2
257.2","M1
E2"
41,43,84Nb,337.0 (3),(5),92(5) ns,"132.4
174.8","E2
E1"
36,49,85Kr,304.871 (20),1/2,4.480(8) h,304.87(2),M4
36,49,85Kr,1991.8 (2),(17/2+),1.82(6) μs,60.2(2),E2
37,48,85Rb,514.0064 (22),9/2+,1.015(1) μs,"233?
362.81(4)
514.0048(22)","(E3)
M2"
37,48,85Rb,2826.55 (14),(19/2),12.5(6) ns,349.8(1),E1
38,47,85Sr,238.79 (5),1/2,67.63(4) min,238.78(5),M4
39,46,85Y,19.68 (17),(9/2)+,4.86(20) h,,
39,46,85Y,266.18 (10),(5/2),178(7) ns,266.2(1),E2
40,45,85Zr,292.2 (3),(1/2),10.9(3) s,292.2(3),
41,44,85Nb,69+Y,"(1/2,
3/2)",3.3(9) s,69,"(E2, M2)"
37,49,86Rb,556.05 (18),6,1.017(3) min,556.07(18),E4
38,48,86Sr,2956.09 (12),8+,0.455(7) μs,98.68(3),E2
39,47,86Y,208.04 (7),(5),70(7) ns,208.06(7),E2(+M1)
39,47,86Y,218.21 (9),(8+),47.4(4) min,10.22 (8),(E3)
39,47,86Y,242.80 (10),2,28.6(21) ns,242.80(10),E2
39,47,86Y,302.18 (9),(6+),127(14) ns,"84.0(1)
94.11(7)",(E1)
41,45,86Nb,49.96+X,"(1+,
2+)",68(2) ns,49.95(15),(E1)
43,43,86Tc,1524 (10),(6+),1.10(14) μs,81,(E2)
38,49,87Sr,388.533 (3),1/2,2.815(12) h,388.531(3),M4
40,47,87Zr,335.84 (19),(1/2),14.0(2) s,134.93(15),E3
41,46,87Nb,3.84 (14),(9/2+),2.6(1) min,,
41,46,87Nb,334.00 (10),(5/2,28(2) ns,"67.2
334.0(1)",(E2)
43,44,87Tc,71+X,(7/2+),647(24) ns,"64?
71?",
35,53,88Br,270.1 (5),"(34
5)",5.51(4) μs,110.9(5),E2
37,51,88Rb,1373.8 (3),(7+),123(13) ns,"647.2(3)
1105.9(7)",(M2)
39,49,88Y,392.86 (9),1+,0.301(3) ms,392.87(9),E3
39,49,88Y,674.55 (4),8+,13.98(17) ms,442.62(3),E3
40,48,88Zr,2887.79 (6),8+,1.320(25) μs,76.99(1),E2
41,47,88Nb,0+X,(4),7.7(1) min,,
43,45,88Tc,X,"(5+,
6+,
7+)",6.4(8) s,,
43,45,88Tc,Y,"(2+,
3+)",5.8(2) s,,
43,45,88Tc,95+W,,146(12) ns,95,
36,53,89Kr,28.59 (3),(5/2+),21.7(13) ns,28.51(10),
39,50,89Y,908.97 (3),9/2+,15.663(5) s,908.960(25),M4+E5
40,49,89Zr,587.82 (10),1/2,4.161(10) min,587.8(1),(M4)
41,48,89Nb,<35,(1/2),66(2) min,,
41,48,89Nb,2192.92 (16),(21/2+),13.8(4) ns,257.7(1),E2
42,47,89Mo,387.5 (2),(1/2),190(15) ms,268.6(2),(E3)
43,46,89Tc,62.6 (5),(1/2),12.9(8) s,,
33,57,90As,124.5+X,,0.20(+129) μs,124.5(5),
37,53,90Rb,106.90 (3),3,258(4) ns,106.92(15),(M3)
39,51,90Y,681.67 (10),7+,3.19(6) h,"479.17(9)
681.8(6)","M4(+E5)
E5"
40,50,90Zr,1760.71 (14),0+,61.3(25) ns,1760.70(20),E0
40,50,90Zr,2319.000 (10),5,809.2(20) ms,"132.716(18)
2318.968(10)","E3(+M4)
E5"
40,50,90Zr,3589.419 (16),8+,131(4) ns,"141.178(15)
1270.396(18)","E2(+M3)
E3"
41,49,90Nb,124.67 (25),4,18.81(6) s,,
41,49,90Nb,382.01 (25),1+,6.19(8) ms,257.34(4),E3(+M4)
41,49,90Nb,1880.21 (20),11,0.47(1) μs,"71.1(2)
1067.3(2)","E2
M2"
42,48,90Mo,2874.73 (15),8+,1.12(5) μs,63.15(9),
43,47,90Tc,144.1 (17),(1+),8.7(2) s,,
45,45,90Rh†,"0+X
0+Y","(0+)
(9+)","15(7) ms
1.1(3) s",,
36,55,91Kr,144.3 (6),(3/2+),56 ns,144.1,E2
37,54,91Rb,1133.79 (6),(9/2+),16.6(6) ns,"412.04(8)
1024.91(15)
1134.1",
38,53,91Sr,93.628 (4),(3/2)+,89.4(16) ns,93.628(4),E2(+M1)
39,52,91Y,555.58 (5),9/2+,49.71(4) min,555.57(5),M4
40,51,91Zr,2287.4 (4),15/2,29.0(8) ns,"28.0(2)?
117.4(4)",(M1)
40,51,91Zr,3166.6 (5),21/2+,4.35(14) μs,879.2(3),
41,50,91Nb,104.62 (5),1/2,60.86(22) d,104.62(5),M4
41,50,91Nb,1984.26 (11),13/2,10.0(4) ns,"193.63(13)
1984.15(15)","E2
(M2+E3)"
41,50,91Nb,2034.42 (20),17/2,3.76(12) μs,50.1(2),(E2)
42,49,91Mo,653.01 (9),1/2,64.6(6) s,652.9(1),M4
42,49,91Mo,2267.4 (4),21/2(+),47(1) ns,199.5(2),E2
42,49,91Mo,2279.6 (4),(17/2),38(4) ns,211.7(2),
43,48,91Tc,139.3 (3),(1/2),3.3(1) min,,
44,47,91Ru,0+X,(1/2),7.6(8) s,,
