"AX","M","Z","E","J","Thalf","Eγ.keV.","λ","TF","Key"
"142TB",142,65,279.7,"5","303(17) ms","68.2(3)
98.3(9)","M2
E3",TRUE,"279.7;5;303(17) ms"
"142TB",142,65,652.1,"8+","26(1) μs","37.2(3)
340.1(6)","E1
M2",TRUE,"652.1;8+;26(1) μs"
"143ND",143,60,8987.7,"49/2+","35(8) ns","300.6(5)
338.6(5)",NA,TRUE,"8987.7;49/2+;35(8) ns"
"143PM",143,61,959.73,"11/2","24.0(7) ns","687.7(4)
959.8(2)","M2
E3",TRUE,"959.73;11/2;24.0(7) ns"
"143PM",143,61,1898.36,"15/2+","10.5(4) ns","234.9(1)","E2",TRUE,"1898.36;15/2+;10.5(4) ns"
"143SM",143,62,753.99,"11/2","66(2) s","754.0(2)","(M4)",TRUE,"753.99;11/2;66(2) s"
"143SM",143,62,2793.8,"23/2()","30(3) ms","208","E3",TRUE,"2793.8;23/2();30(3) ms"
"143EU",143,63,389.51,"11/2","50.0(5) μs","117.57(5)
389.47(5)","M2
E3",TRUE,"389.51;11/2;50.0(5) μs"
"143GD",143,64,152.6,"(11/2)","110.0(14) s",NA,NA,TRUE,"152.6;(11/2);110.0(14) s"
"143DY",143,66,310.7,"(11/2)","3.0(3) s",NA,NA,TRUE,"310.7;(11/2);3.0(3) s"
"143DY",143,66,405.7,NA,"1.2(3) μs","86
95","(E2)
(E2)",TRUE,"405.7;NA;1.2(3) μs"
"144CS",144,55,92.2,"(4)","1.1(1) μs","49.4","(E2)",TRUE,"92.2;(4);1.1(1) μs"
"144PR",144,59,59.03,"3","7.2(3) min","59.03(3)","M3",TRUE,"59.03;3;7.2(3) min"
"144PM",144,61,840.9,"(9)+","0.78(20) μs","326.55(5)
608.7
669.15(8)","M2
E3
E3",TRUE,"840.9;(9)+;0.78(20) μs"
"144PM",144,61,8595.8,"(25 to
35)","~ 2.7 μs","85.5",NA,TRUE,"8595.8;(25 to
35);~ 2.7 μs"
"144SM",144,62,2323.6,"6+","880(25) ns","132.6(1)","E2",TRUE,"2323.6;6+;880(25) ns"
"144EU",144,63,926,"(6)","27.8(16) ns","38.7(3)
163.1(5)","(M1+E2)",TRUE,"926;(6);27.8(16) ns"
"144EU",144,63,1127.6,"(8)","1.0(1) μs","7.5
201.6(5)","E2",TRUE,"1127.6;(8);1.0(1) μs"
"144GD",144,64,2471.6,"(7)","13(2) ns","169.0(2)","E2",TRUE,"2471.6;(7);13(2) ns"
"144GD",144,64,3433.1,"(10+)","145(30) ns","87.4(3)
415.2(3)","E1
M2",TRUE,"3433.1;(10+);145(30) ns"
"144TB",144,65,396.9,"6","4.25(15) s
12(2) s @","113.0(3)","E3",TRUE,"396.9;6;4.25(15) s
12(2) s @"
"144TB",144,65,476.2,"8","2.8(3) μs","79.3(2)","E2",TRUE,"476.2;8;2.8(3) μs"
"144TB",144,65,517.1,"9+","0.67(6) μs","40.8(2)","E1",TRUE,"517.1;9+;0.67(6) μs"
"145CE",145,58,64.3,"()","13(3) ns","64.3(2)","E2",TRUE,"64.3;();13(3) ns"
"145ND",145,60,67.167,"3/2","29.4(10) ns","67.10(1)","E2",TRUE,"67.167;3/2;29.4(10) ns"
"145PM",145,61,794.6,"11/2","17.1(10) ns","44.2?
80.7(3)
733.4(3)
794.6(5)","E1
M2
E3",TRUE,"794.6;11/2;17.1(10) ns"
"145SM",145,62,1105.03,"13/2+","13.5(15) ns","1105.0(2)","E3",TRUE,"1105.03;13/2+;13.5(15) ns"
"145SM",145,62,8786.2,"(49/2+)","0.96(+1915) μs","205.9(7)
408.4(5)
452.3(5)
595.6(5)
713.3(19)
981.9(4)
1042.7(7)
1457.8(6)",NA,TRUE,"8786.2;(49/2+);0.96(+1915) μs"
"145EU",145,63,716,"11/2","490(30) ns","386.6(3)
716.0(3)","M2
E3",TRUE,"716;11/2;490(30) ns"
"145GD",145,64,27.3,"3/2+","11.5(3) ns","27.3(1)","M1+E2",TRUE,"27.3;3/2+;11.5(3) ns"
"145GD",145,64,749.1,"11/2","85(3) s","721.8(1)","M4",TRUE,"749.1;11/2;85(3) s"
"145DY",145,66,118.2,"(11/2)","14.1(7) s",NA,NA,TRUE,"118.2;(11/2);14.1(7) s"
"145ER",145,68,253,"(11/2","0.9(3) s",NA,NA,TRUE,"253;(11/2;0.9(3) s"
"146EU",146,63,666.37,"9+","235(3) μs","18.8
293.7(1)
377.0(1)","E3
E3",TRUE,"666.37;9+;235(3) μs"
"146EU",146,63,8649,"(27)","10.0(6) ns","204",NA,TRUE,"8649;(27);10.0(6) ns"
"146DY",146,66,2935.7,"(10+)","150(20) ms","127.0(3)
416.5(3)","E3
(E3)",TRUE,"2935.7;(10+);150(20) ms"
"146TM",146,69,182,"10+","198(3) ms",NA,NA,TRUE,"182;10+;198(3) ms"
"147PR",147,59,93.29,"(7/2+)","12 ns","65.21
90.44
93.17","M1",TRUE,"93.29;(7/2+);12 ns"
"147PM",147,61,649.14,"11/2","27(3) ns","117.98(5)?
159.7(2)?
241.2(2)
649.04(8)","E3
M2
E1
M2",TRUE,"649.14;11/2;27(3) ns"
"147EU",147,63,625.27,"11/2","0.765(15) μs","396.00(10)
625.18(10)","M2
E3",TRUE,"625.27;11/2;0.765(15) μs"
"147GD",147,64,997.1,"13/2+","21.4(11) ns","997.1(1)","E3",TRUE,"997.1;13/2+;21.4(11) ns"
"147GD",147,64,3581.9,"27/2","26.8(7) ns","182.9(1)
543.7(1)
821.3(2)","E1",TRUE,"3581.9;27/2;26.8(7) ns"
"147GD",147,64,8587.8,"(49/2+)","510(20) ns","254.4(1)
434.5(3)
594.3?","E2
(E3)",TRUE,"8587.8;(49/2+);510(20) ns"
"147TB",147,65,50.6,"(11/2)","1.83(6) min",NA,NA,TRUE,"50.6;(11/2);1.83(6) min"
"147DY",147,66,750.5,"(11/2)","55.2(5) s","678.4(3)","(M4)",TRUE,"750.5;(11/2);55.2(5) s"
"147DY",147,66,3407.2,"(27/2)","0.40(1) μs","81.9(1)","E2",TRUE,"3407.2;(27/2);0.40(1) μs"
"147DY",147,66,3650.6,"(27/2)","16(3) ns","92.3(3)
243.4(3)","(M1)",TRUE,"3650.6;(27/2);16(3) ns"
"147HO",147,67,2687.1,"(27/2)","315(30) ns","32.3",NA,TRUE,"2687.1;(27/2);315(30) ns"
"148LA",148,57,56.034,"(1+)","67(4) ns","56.08(4)","E1",TRUE,"56.034;(1+);67(4) ns"
"148PR",148,59,76.8,"4−","2.01(7) min","76.8(2)","M3",TRUE,"76.8;4−;2.01(7) min"
"148PM",148,61,137.9,"56","41.29(11) d","62.2(5)","E4",TRUE,"137.9;56;41.29(11) d"
"148SM",148,62,6694.32,"21()","32(3) ns","101.5(1)
217.3(1)
302.0(2)",NA,TRUE,"6694.32;21();32(3) ns"
"148EU",148,63,720.4,"9+","162(8) ns","12.0(4)?
201.9(3)","M2",TRUE,"720.4;9+;162(8) ns"
"148GD",148,64,2694.67,"9","16.6(3) ns","130.8(3)
883.6(3)","E2
E3",TRUE,"2694.67;9;16.6(3) ns"
"148TB",148,65,90.1,"(9)+","2.20(5) min",NA,NA,TRUE,"90.1;(9)+;2.20(5) min"
"148TB",148,65,109.6,"4","80(4) ns","109.6(2)","E2",TRUE,"109.6;4;80(4) ns"
"148TB",148,65,1095.8,"(11)","22(1) ns","690.2
1006.2","E3+M2",TRUE,"1095.8;(11);22(1) ns"
"148TB",148,65,8618.6,"(27+)","1.310(7) μs","280.6
784.8
857.7",NA,TRUE,"8618.6;(27+);1.310(7) μs"
"148DY",148,66,2832.2,"8+","65(10) ns","94.1(2)
101.2(6)","E1
E2",TRUE,"2832.2;8+;65(10) ns"
"148DY",148,66,2919.1,"10+","471(20) ns","86.9","E2",TRUE,"2919.1;10+;471(20) ns"
"148ER",148,68,2913.2,"(10+)","13(3) μs","131.2(2)","E2",TRUE,"2913.2;(10+);13(3) μs"
"149PR",149,59,58.5,"(7/2,
11/2)","22.9(18) ns","58.5","E1",TRUE,"58.5;(7/2,
11/2);22.9(18) ns"
"149PM",149,61,240.214,"11/2","35(3) μs","240.220(7)","M2",TRUE,"240.214;11/2;35(3) μs"
"149EU",149,63,496.386,"11/2","2.45(5) μs","346.651(3)
496.383(2)","M2+E3
E3",TRUE,"496.386;11/2;2.45(5) μs"
"149TB",149,65,35.78,"11/2","4.16(4) min",NA,NA,TRUE,"35.78;11/2;4.16(4) min"
"149DY",149,66,1073.24,"(13/2+)","12.5(15 ) ns","1073.2(1)","E3",TRUE,"1073.24;(13/2+);12.5(15 ) ns"
"149DY",149,66,2661.1,"(27/2)","0.490(15) s
11(1) s @","110.7(3)","E3",TRUE,"2661.1;(27/2);0.490(15) s
11(1) s @"
"149DY",149,66,8520.5,"(49/2+)","28(2) ns","249?
475?",NA,TRUE,"8520.5;(49/2+);28(2) ns"
"149HO",149,67,48.8,"(1/2+)","56(3) s",NA,NA,TRUE,"48.8;(1/2+);56(3) s"
"149HO",149,67,2738,"(27/2)","59(4) ns","144","(E2)",TRUE,"2738;(27/2);59(4) ns"
"149ER",149,68,741.8,"(11/2)","8.9(2) s","630.5(2)","M4",TRUE,"741.8;(11/2);8.9(2) s"
"149ER",149,68,2611.1,"(19/2+)","0.61(8) μs","68.9(1)
132.3(1)","E2
E2",TRUE,"2611.1;(19/2+);0.61(8) μs"
"150EU",150,63,41.7,"0","12.8(1) h","~1?",NA,TRUE,"41.7;0;12.8(1) h"
"150EU",150,63,588.81,"8+","45(3) ns","26.8(1)?
171.50(9)","(E2)",TRUE,"588.81;8+;45(3) ns"
"150TB",150,65,461,"9+","5.8(2) min",NA,NA,TRUE,"461;9+;5.8(2) min"
"150ER",150,68,2733.3,"8+","~ 20 ns","100.52(9)
112.6(3)","E1",TRUE,"2733.3;8+;~ 20 ns"
"150ER",150,68,2796.5,"10+","2.55(10) μs","63.2(3)","E2",TRUE,"2796.5;10+;2.55(10) μs"
"150ER",150,68,7371.9,NA,"15(4) ns","39.4(4)
219.0(2)
1013.1(3)","E1",TRUE,"7371.9;NA;15(4) ns"
"150ER",150,68,9508.6,NA,"43(3) ns","360.1(2)",NA,TRUE,"9508.6;NA;43(3) ns"
"150TM",150,69,671.3,"(10+)","5.2(3) ms","331.2","(E3)",TRUE,"671.3;(10+);5.2(3) ms"
"150LU",150,71,22,"(1
2)","39(+86) μs",NA,NA,TRUE,"22;(1
2);39(+86) μs"
"151PR",151,59,35.1,"(1/2+,
3/2+,
7/2+)","50(8) μs","35.1(1)","E1",TRUE,"35.1;(1/2+,
3/2+,
7/2+);50(8) μs"
"151SM",151,62,4.821,"3/2","35(1) ns","4.821(3)","M1+E2",TRUE,"4.821;3/2;35(1) ns"
"151SM",151,62,91.532,"(9/2)+","78(1) ns","25.71(1)","E1",TRUE,"91.532;(9/2)+;78(1) ns"
"151SM",151,62,261.13,"(11/2)","1.4(1) μs","85.7(1)
113.21(5)
169.57(7)
195.26(5)",NA,TRUE,"261.13;(11/2);1.4(1) μs"
"151EU",151,63,196.245,"11/2","58.9(5) μs","174.70(1)
196","M2",TRUE,"196.245;11/2;58.9(5) μs"
"151TB",151,65,99.53,"(11/2)","25(3) s","27.1(1)","E3",TRUE,"99.53;(11/2);25(3) s"
"151DY",151,66,6032.2,"(49/2+)","11.9(8) ns","25","E2",TRUE,"6032.2;(49/2+);11.9(8) ns"
"151ER",151,68,1140.35,"(13/2+)","10(3) ns","338.5(2)
1140.2(2)","(M2)
E3",TRUE,"1140.35;(13/2+);10(3) ns"
"151ER",151,68,2586,"(27/2)","0.58(2) s
19(3) s @","57.7","E3",TRUE,"2586;(27/2);0.58(2) s
19(3) s @"
"151ER",151,68,10286.6,"(67/2)","0.42(5) μs","894.6","(E3)",TRUE,"10286.6;(67/2);0.42(5) μs"
"151TM",151,69,2655.67,"(27/2)","0.451(34) μs","140.4(1)","E2",TRUE,"2655.67;(27/2);0.451(34) μs"
"151TM",151,69,6908.5,NA,"24(4) ns","1050.2(2)",NA,TRUE,"6908.5;NA;24(4) ns"
"151LU",151,71,53,"3/2+","16.5(10) μs",NA,NA,TRUE,"53;3/2+;16.5(10) μs"
"152PM",152,61,150,"4","7.52(8) min",NA,NA,TRUE,"150;4;7.52(8) min"
"152EU",152,63,45.5998,"0","9.3116(13) h",NA,NA,TRUE,"45.5998;0;9.3116(13) h"
"152EU",152,63,65.2969,"1","0.94(8) μs","19.695(7)
65.2965(5)","M1
E2",TRUE,"65.2969;1;0.94(8) μs"
"152EU",152,63,77.2593,"3","38(4) ns","77.2583(6)","M1+E2",TRUE,"77.2593;3;38(4) ns"
"152EU",152,63,78.2331,"1+","165(10) ns","12.965(15)
32.6341(3)","E1",TRUE,"78.2331;1+;165(10) ns"
"152EU",152,63,89.8496,"4+","384(10) ns","12.598(15)
89.8492(7)","E1",TRUE,"89.8496;4+;384(10) ns"
"152EU",152,63,147.86,"8","95.8(4) min","39.75(10)","E3",TRUE,"147.86;8;95.8(4) min"
"152TB",152,65,342.15,"5","0.96 μs","58.9(2)
65.0(3)
106.6(3)","M1",TRUE,"342.15;5;0.96 μs"
"152TB",152,65,501.74,"8+","4.2(1) min","159.59(10)","E3",TRUE,"501.74;8+;4.2(1) min"
"152DY",152,66,5088.1,"17+","60(4) ns","53.3(2)","E2",TRUE,"5088.1;17+;60(4) ns"
"152HO",152,67,160,"9+","49.8(2) s",NA,NA,TRUE,"160;9+;49.8(2) s"
"152HO",152,67,3019.59,"19","8.4(3) μs","734.1(1)","E3",TRUE,"3019.59;19;8.4(3) μs"
"152HO",152,67,5997.9,"28","47(7) ns","105.5(1)","E2",TRUE,"5997.9;28;47(7) ns"
"152ER",152,68,9711.8,"28+","35(4) ns","848.3(3)
1021.0(7)
1051.9(6)
1184.1(6)","M2+E3",TRUE,"9711.8;28+;35(4) ns"
"152ER",152,68,13386.9,NA,"11(1) ns","357.9
1265.5(6)",NA,TRUE,"13386.9;NA;11(1) ns"
"152YB",152,70,2744.5,"(10+)","30(1) μs","54.6(10)","(E2)",TRUE,"2744.5;(10+);30(1) μs"
"153ND",153,60,191.71,"(5/2+)","1.10(5) μs","71.5(2)
141.8(2)
191.7(2)","(E1)
E1
E1",TRUE,"191.71;(5/2+);1.10(5) μs"
"153SM",153,62,98.37,"11/2","10.6(3) ms","32.9(1)",NA,TRUE,"98.37;11/2;10.6(3) ms"
"153SM",153,62,182.902,"5/2","17(7) ns","55.61(1)
92.03(1)
129.36(1)
147.06(1)
175.370(11)
182.900(8)","E1
M1,E2
E1
E1",TRUE,"182.902;5/2;17(7) ns"
"153EU",153,63,1771,"19/2","475(10) ns","477.0(4)
709.4(4)
919.4(4)","E1",TRUE,"1771;19/2;475(10) ns"
"153GD",153,64,95.1736,"9/2+","3.5(4) μs","1.8307(14)?
53.60(2)?","M2",TRUE,"95.1736;9/2+;3.5(4) μs"
"153GD",153,64,171.188,"(11/2)","76.0(14) μs","2.8?
76.015(4)
77.9",NA,TRUE,"171.188;(11/2);76.0(14) μs"
"153TB",153,65,163.175,"11/2","186(4) μs","82.464(4)","M2",TRUE,"163.175;11/2;186(4) μs"
"153HO",153,67,68.7,"1/2+","9.3(5) min",NA,NA,TRUE,"68.7;1/2+;9.3(5) min"
"153HO",153,67,2772,"(31/2+)","229(2) ns","36
475","E2
M2",TRUE,"2772;(31/2+);229(2) ns"
"153ER",153,68,2798.2,"(27/2)","373(9) ns","46.4?",NA,TRUE,"2798.2;(27/2);373(9) ns"
"153ER",153,68,2992.7,"(29/2+)","~ 10 ns","83.9
194.5","E1",TRUE,"2992.7;(29/2+);~ 10 ns"
"153ER",153,68,3939.5,"(33/2+)","~ 10 ns","287.8
946.7",NA,TRUE,"3939.5;(33/2+);~ 10 ns"
"153ER",153,68,5248.1,"(41/2)","248(32) ns","356.3
403.7
428.7",NA,TRUE,"5248.1;(41/2);248(32) ns"
"153TM",154,69,43.2,"(1/2+)","2.5(2) s",NA,NA,TRUE,"43.2;(1/2+);2.5(2) s"
"153LU",153,71,2502.5,"23/2","> 0.1 μs","21?
291.0(3)
355.4(3)",NA,TRUE,"2502.5;23/2;> 0.1 μs"
"153LU",153,71,2632.9,"27/2","15(3) μs","130.4(2)","E2",TRUE,"2632.9;27/2;15(3) μs"
"154EU",154,63,68.1702,"2+","2.2(1) μs","68.1711(5)","E1",TRUE,"68.1702;2+;2.2(1) μs"
"154EU",154,63,82.82,"1","20(5) ns","10.905(14)
14.634(17)","(E1)
(E1)",TRUE,"82.82;1;20(5) ns"
"154EU",154,63,100.8612,"4+","54(3) ns","0.91?
32.700(4)
100.8592(10)","E2
E1",TRUE,"100.8612;4+;54(3) ns"
"154EU",154,63,145.3,"8","46.3(4) min","8.6?",NA,TRUE,"145.3;8;46.3(4) min"
"154GD",154,64,2137.48,"7","68 ns","225.94(3)
992.92(12)
1419.81(8)","E1
E1(+M2)
E1",TRUE,"2137.48;7;68 ns"
"154ER",154,68,3025,"11","39(4) ns","9?
11?",NA,TRUE,"3025;11;39(4) ns"
"154YB",154,70,2046.2,"(8+)","28(2) ns","96.6(2)","E2",TRUE,"2046.2;(8+);28(2) ns"
"154YB",154,70,4479.1,"(16+)","18.6(15) ns","160.3","E2",TRUE,"4479.1;(16+);18.6(15) ns"
"154LU",154,71,59,"(9+)","1.12(8) s",NA,NA,TRUE,"59;(9+);1.12(8) s"
"155SM",155,62,16.547,"5/2+","2.8(5) μs","16.547 (10)","E1",TRUE,"16.547;5/2+;2.8(5) μs"
"155SM",155,62,538.4,"11/2","1.00(8) μs","179.2(2)
287.5(2)
385.6(2)","E1
E1
E1",TRUE,"538.4;11/2;1.00(8) μs"
"155GD",155,64,121.05,"11/2","31.97(27) ms","13.47(19)","E1",TRUE,"121.05;11/2;31.97(27) ms"
"155DY",155,66,132.195,"9/2+","51(3) ns","45.38(5)","E1",TRUE,"132.195;9/2+;51(3) ns"
"155DY",155,66,234.33,"11/2","6(1) μs","9.1(1)
79.72(5)
102.16(3)
147.63(6)","M1+E2
E1+M2
E1+M2",TRUE,"234.33;11/2;6(1) μs"
"155HO",155,67,141.97,"11/2","0.88(8) ms","31.7(1)","M2",TRUE,"141.97;11/2;0.88(8) ms"
"155ER",155,68,563.22,"13/2+","34.8(6) ns","31.5(1)","E1",TRUE,"563.22;13/2+;34.8(6) ns"
"155TM",155,69,41,"1/2+","45(3) s",NA,NA,TRUE,"41;1/2+;45(3) s"
"155LU",155,71,20,"1/2+","138(8) ms",NA,NA,TRUE,"20;1/2+;138(8) ms"
"155LU",155,71,1781,"(25/2)","2.69(3) ms",NA,NA,TRUE,"1781;(25/2);2.69(3) ms"
"156ND",156,60,1431.3,"(5)","0.36(15) μs","970.6(2)
1209.0(2)","E1
E1",TRUE,"1431.3;(5);0.36(15) μs"
"156SM",156,62,1397.55,"5","185(7) ns","376.75(10)
880.39(10)
1147.84(10)",NA,TRUE,"1397.55;5;185(7) ns"
"156EU",156,63,87.4897,"1","12.0(3) ns","39.7805(4)
64.9725(4)
87.4897(3)","E1
E1",TRUE,"87.4897;1;12.0(3) ns"
"156GD",156,64,2137.6,"7","1.3(1) μs","228.35(4)
383.93(6)","E1",TRUE,"2137.6;7;1.3(1) μs"
"156TB",156,65,49.63,"4+","49(7) ns","49.630(10)","E1",TRUE,"49.63;4+;49(7) ns"
"156TB",156,65,88.4,"(0+)","5.3(2) h","88.4","E3",TRUE,"88.4;(0+);5.3(2) h"
"156HO",156,67,52.37,"1","9.5(15) s","52.37","M3",TRUE,"52.37;1;9.5(15) s"
"156HO",156,67,170,"9+","7.6(3) min",NA,NA,TRUE,"170;9+;7.6(3) min"
"156HO",156,67,117.58,"1+","58(3) ns","26.55(10)
35.37
65.16?","M1+E2
E1
E1",TRUE,"117.58;1+;58(3) ns"
"156HF",156,72,1959,"8+","0.52(1) ms",NA,NA,TRUE,"1959;8+;0.52(1) ms"
"156TA",156,73,102,"9+","0.36(4) s",NA,NA,TRUE,"102;9+;0.36(4) s"
"157GD",157,64,63.917,"5/2+","0.46(4) μs","9.365(12)
63.929(8)","E1
E1",TRUE,"63.917;5/2+;0.46(4) μs"
"157GD",157,64,426.6,"11/2","18.5(23) μs","199
246.31(2)",NA,TRUE,"426.6;11/2;18.5(23) μs"
"157DY",157,66,161.99,"9/2+","1.3(2) μs","14.23(5)","E1",TRUE,"161.99;9/2+;1.3(2) μs"
"157DY",157,66,199.38,"11/2","21.6(16) ms","37.36(8)
51.7(1)","(E1)
(E2)",TRUE,"199.38;11/2;21.6(16) ms"
"157HO",157,67,53.048,"5/2+","20(1) ns","53.05(2)","(E1)",TRUE,"53.048;5/2+;20(1) ns"
"157YB",157,70,529.3,"13/2+","45 ns","34.8?
205.7",NA,TRUE,"529.3;13/2+;45 ns"
"157LU",157,71,26,"(11/2)","4.79(12) s",NA,NA,TRUE,"26;(11/2);4.79(12) s"
"157HF",157,72,2875.4,"29/2+","52(12) ns","70.3","E1",TRUE,"2875.4;29/2+;52(12) ns"
"157TA",157,73,22,"11/2","4.3(1) ms",NA,NA,TRUE,"22;11/2;4.3(1) ms"
"158SM",158,62,1279.3,"(5)","74(6) ns","781.3(2)
1039.5(2)","E1
E1",TRUE,"1279.3;(5);74(6) ns"
"158TB",158,65,110.3,"0","10.70(17) s","110.3(12)","M3",TRUE,"110.3;0;10.70(17) s"
"158TB",158,65,388.4,"7","0.40(4) ms","65.76(10)
171.07(10)","E1",TRUE,"388.4;7;0.40(4) ms"
"158HO",158,67,67.199,"2","28(2) min","67.200(10)","E3",TRUE,"67.199;2;28(2) min"
"158HO",158,67,156.9,"(5)","29(3) ns","156.9(1)",NA,TRUE,"156.9;(5);29(3) ns"
"158TA",158,73,141,"(9+)","36.7(15) ms",NA,NA,TRUE,"141;(9+);36.7(15) ms"
"158TA",158,73,2809,"19","6.1(1) μs","1002",NA,TRUE,"2809;19;6.1(1) μs"
"158W",158,74,1888,"(8+)","0.143(19) ms",NA,NA,TRUE,"1888;(8+);0.143(19) ms"
"159SM",159,62,1276.8,"(11/2)","115(10) ns","869.7",NA,TRUE,"1276.8;(11/2);115(10) ns"
"159GD",159,64,67.829,"5/2+","26.2(8) ns","17.1
67.8(1)","E1",TRUE,"67.829;5/2+;26.2(8) ns"
"159DY",159,66,352.77,"11/2","122(3) μs","113.3(2)
116.9(2)
218(1)","E1
M1
E2",TRUE,"352.77;11/2;122(3) μs"
"159HO",159,67,205.91,"1/2+","8.30(8) s","40.0(1)
205.92(5)","E3",TRUE,"205.91;1/2+;8.30(8) s"
"159ER",159,68,182.602,"9/2+","0.337(14) μs","38.32(3)","E1",TRUE,"182.602;9/2+;0.337(14) μs"
"159ER",159,68,429.05,"11/2","0.59(6) μs","170.75(9)
247
284.84(3)","M1
(E2)",TRUE,"429.05;11/2;0.59(6) μs"
"159TM",159,69,166.17,"(7/2)","37.5(13) ns","113.18(6)
166.16(5)","E1",TRUE,"166.17;(7/2);37.5(13) ns"
"159TA",159,73,64,"11/2","0.56(6) s",NA,NA,TRUE,"64;11/2;0.56(6) s"
"160SM",160,62,1361.3,"(5)","120(46) ns","878.0(2)
1128.2(2)",NA,TRUE,"1361.3;(5);120(46) ns"
"160TB",160,65,63.6855,"1","60(5) ns","63.6859(20)","E2",TRUE,"63.6855;1;60(5) ns"
"160HO",160,67,59.98,"2","5.02(5) h","59.98(3)","E3",TRUE,"59.98;2;5.02(5) h"
"160HO",160,67,107.27,"6+","48(10) ns","107.28(2)","M1+E2",TRUE,"107.27;6+;48(10) ns"
"160HO",160,67,118.441,"6","56(8) ns","11.17(3)?
118.44(2)","E1
E1",TRUE,"118.441;6;56(8) ns"
"160HO",160,67,197,"(9+)","3 s",NA,NA,TRUE,"197;(9+);3 s"
"160TM",160,69,70.9,"5","74.5(15) s","28.85",NA,TRUE,"70.9;5;74.5(15) s"
"160TM",160,69,174.38,"1+","17(1) ns","34.18(10)
132.23(5)
174.40(10)","M1
E1
E1",TRUE,"174.38;1+;17(1) ns"
"160RE",160,75,184,"(9+)","2.8(1) μs","96(1)","(E2)",TRUE,"184;(9+);2.8(1) μs"
"161DY",161,66,25.65136,"5/2","29.1(3) ns","25.65135(3)","E1",TRUE,"25.65136;5/2;29.1(3) ns"
"161DY",161,66,485.7,"11/2","0.76(17) μs","165.0(1)
217.8(1)
284.3(1)
301.4(1)
382.6(1)
385.3(1)",NA,TRUE,"485.7;11/2;0.76(17) μs"
"161HO",161,67,211.15,"1/2+","6.76(7) s","211.15(3)","E3",TRUE,"211.15;1/2+;6.76(7) s"
"161ER",161,68,189.42,"9/2+","84(10) ns","45.54(3)","E1",TRUE,"189.42;9/2+;84(10) ns"
"161ER",161,68,396.44,"11/2","7.5(7) μs","99.76(4)
128.90(7)
146.65(8)
207.12(6)
252.50(10)","E1
E1
M1+E2
E1
E2",TRUE,"396.44;11/2;7.5(7) μs"
"161TM",161,69,78.2,"7/2","110(3) ns","78.20(3)","E1",TRUE,"78.2;7/2;110(3) ns"
"161HF",161,72,329,"(13/2+)","4.8(2) μs","202.2(4)","M2",TRUE,"329;(13/2+);4.8(2) μs"
"162DY",162,66,2187.9,"8+","8.3(3) μs","146.4(1)
228.6(1)
248.0(1)
300.3(1)
341.8(1)
380.2(1)
435.4(1)
504.3(1)
550.3(1)
1266.5(2)
1639.2(2)","M1
E1
E1
M1
E1
E1
E2
E1
E1
M1
E2",TRUE,"2187.9;8+;8.3(3) μs"
"162HO",162,67,105.87,"6","67.0(7) min","9.80(5)","E3",TRUE,"105.87;6;67.0(7) min"
"162ER",162,68,2026.7,"7()","88(16) ns","930.1(4)
1359.6(2)",NA,TRUE,"2026.7;7();88(16) ns"
"162RE",162,75,173,"(9+)","77(9) ms",NA,NA,TRUE,"173;(9+);77(9) ms"
"163HO",163,67,297.88,"1/2+","1.09(3) s","297.88(10)","E3",TRUE,"297.88;1/2+;1.09(3) s"
"163HO",163,67,1506.4,"(17/2+)","41(11) ns","581.1(1)
973.8(1)",NA,TRUE,"1506.4;(17/2+);41(11) ns"
"163HO",163,67,2109.4,"(23/2+)","0.80(15) μs","183.3(1)
340.2(1)",NA,TRUE,"2109.4;(23/2+);0.80(15) μs"
"163ER",163,68,445.5,"(11/2)","0.58(10) μs","125.8
198.5?
246.2
255.8
325.1","(M1)",TRUE,"445.5;(11/2);0.58(10) μs"
"163TM",163,69,86.92,"(7/2)","0.38(3) μs","63.62(3)","E1",TRUE,"86.92;(7/2);0.38(3) μs"
"163TM",163,69,164.69,"(9/2+)","~ 43 ns","141.4(1)","(M1, E2)",TRUE,"164.69;(9/2+);~ 43 ns"
"163TM",163,69,290.3,"(11/2)","~ 43 ns","115.7(2)
203.4(2)",NA,TRUE,"290.3;(11/2);~ 43 ns"
"163YB",163,70,58.1,"(3/2
5/2,","> 10 ns","4.2
58",NA,TRUE,"58.1;(3/2
5/2,;> 10 ns"
"163YB",163,70,99.2,"(5/2+)","~ 10 ns","41
45.3",NA,TRUE,"99.2;(5/2+);~ 10 ns"
"163YB",163,70,124,"(9/2+)","~ 10 ns","24.7?",NA,TRUE,"124;(9/2+);~ 10 ns"
"163W",163,74,480.3,"13/2+","154(3) ns","38.4(7)
378.3(6)","E1
M2",TRUE,"480.3;13/2+;154(3) ns"
"163RE",163,75,115,"11/2","214(5) ms",NA,NA,TRUE,"115;11/2;214(5) ms"
"164SM",164,62,1485.5,"(6)","0.60(14) μs","349.4(2)(E1)","%IT = 100",TRUE,"1485.5;(6);0.60(14) μs"
"164HO",164,67,139.77,"6","37.5(+15−5) min","45.79(6)","E3",TRUE,"139.77;6;37.5(+15−5) min"
"164ER",164,68,3378.2,"12+","68(2) ns","156.4(1)
427.3(1)
555.0(1)
1294.8(3)
1859.5(6)?","E1
(E1)
(M1)
(E2)",TRUE,"3378.2;12+;68(2) ns"
