"Z","Species","CS","Occ","Element","Iso_elec","Ground_Shells","Ground_Config","Ground_Level","Ionized_Level","IE","IE_uncertainty","References"
18,"Ar XVIII",17,1,"Argon","H","1s","1s","2S1/2",NA,4.4262229,7e-07,"L7188"
19,"K I",0,19,"Potassium","K","Ar4s","3p64s","2S1/2","3p6 1S0",0.00434066373,9e-11,"L5451,L5783,L7185"
19,"K II",1,18,"Potassium","Ar","Ne3s23p6","3p6","1S0","3p5 2P°3/2",0.031625,1.9e-07,"L12188"
19,"K III",2,17,"Potassium","Cl","Ne3s23p5","3s23p5","2P°3/2","3p4 3P2",0.0458031,1.7e-06,"L11770"
19,"K IV",3,16,"Potassium","S","Ne3s23p4","3s23p4","3P2","3p3 4S°3/2",0.060917,1.9e-05,"L11770"
19,"K V",4,15,"Potassium","P","Ne3s23p3","3s23p3","4S°3/2","3p2 3P0",0.08266,0.00016,"L241"
19,"K VI",5,14,"Potassium","Si","Ne3s23p2","3s23p2","3P0","3p 2P°1/2",0.09944,2e-04,"L7185"
19,"K VII",6,13,"Potassium","Al","Ne3s23p","3s23p","2P°1/2","3s2 1S0",0.11756,0.00011,"L7185"
19,"K VIII",7,12,"Potassium","Mg","Ne3s2","3s2","1S0","3s 2S1/2",0.15487,5e-05,"L12392"
19,"K IX",8,11,"Potassium","Na","Ne3s","2p63s","2S1/2","2p6 1S0",0.1758174,2.5e-06,"L4344"
19,"K X",9,10,"Potassium","Ne","1s22s22p6","2s22p6","1S0","2p5 2P°3/2",0.50367,7e-05,"L11770"
19,"K XI",10,9,"Potassium","F","1s22s22p5","2s22p5","2P°3/2","2p4 3P2",0.5656,7e-04,"L11770"
19,"K XII",11,8,"Potassium","O","1s22s22p4","2s22p4","3P2","2p3 4S°3/2",0.6311,9e-04,"L11770"
19,"K XIII",12,7,"Potassium","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.7147,5e-04,"L11770"
19,"K XIV",13,6,"Potassium","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.7863,3e-04,"L11770"
19,"K XV",14,5,"Potassium","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.86092,0.00025,"L11770"
19,"K XVI",15,4,"Potassium","Be","1s22s2","2s2","1S0","2s 2S1/2",0.9677,3e-04,"L11770"
19,"K XVII",16,3,"Potassium","Li","1s22s","1s22s","2S1/2","1s2 1S0",1.034542,7e-06,"L16264c99"
19,"K XVIII",17,2,"Potassium","He","1s2","1s2","1S0","1s 2S1/2",4.61087018,1.2e-07,"L8473"
19,"K XIX",18,1,"Potassium","H","1s","1s","2S1/2",NA,4.9340484,9e-07,"L7188"
20,"Ca I",0,20,"Calcium","Ca","Ar4s2","3p64s2","1S0","4s 2S1/2",0.00611315547,2.5e-10,"L8900"
20,"Ca II",1,19,"Calcium","K","Ar4s","3p64s","2S1/2","3p6 1S0",0.011871719,4e-09,"L7185,L7323"
20,"Ca III",2,18,"Calcium","Ar","Ne3s23p6","3s23p6","1S0","3p5 2P°3/2",0.05091316,2.5e-07,"L1405"
20,"Ca IV",3,17,"Calcium","Cl","Ne3s23p5","3s23p5","2P°3/2","3p4 3P2",0.0672732,2.1e-06,"L11770"
20,"Ca V",4,16,"Calcium","S","Ne3s23p4","3s23p4","3P2","3p3 4S°3/2",0.08434,8e-05,"L11770"
20,"Ca VI",5,15,"Calcium","P","Ne3s23p3","3s23p3","4S°3/2","3p2 3P0",0.10878,0.00025,"L7185"
20,"Ca VII",6,14,"Calcium","Si","Ne3s23p2","3s23p2","3P0","3p 2P°1/2",0.12721,0.00025,"L7185"
20,"Ca VIII",7,13,"Calcium","Al","Ne3s23p","3s23p","2P°1/2","3s2 1S0",0.14724,0.00012,"L7185"
20,"Ca IX",8,12,"Calcium","Mg","Ne3s2","2p63s2","1S0","3s 2S1/2",0.18854,6e-05,"L7185"
