"At. Num. "," Sp.  Name. "," Ion  Charge "," El.  name "," Isoel.  Seq. "," Ground  Shells "," Ground  Config. "," Ground  Level "," Ionized  Level "," Ionization  Energy 
 (eV) ","Uncertainty
 (eV) "," References "
17,"Cl XIII ",12,"Chlorine ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ","  [656.30]                 ",0.12," L11770 "
17,"Cl XIV ",13,"Chlorine ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ","  [750.23]                 ",0.19," L11770 "
17,"Cl XV ",14,"Chlorine ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ","  (809.198)                ",0.007," L16264c99 "
17,"Cl XVI ",15,"Chlorine ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  (3 658.3438)               ",0.0003," L12128 "
17,"Cl XVII ",16,"Chlorine ","H ","1s ","1s "," 2S1/2 "," ","  (3 946.2909)               ",0.0006," L7188"
18,"Ar I ",0,"Argon ","Ar ","[Ne]3s23p6 ","3s23p6 "," 1S0 ","3p5 2P°3/2 ",15.7596119,5E-07," L9217 "
18,"Ar II ",1,"Argon ","Cl ","[Ne]3s23p5 ","3s23p5 "," 2P°3/2 ","3p4 3P2 ",27.62967,0.00012," L8844 "
18,"Ar III ",2,"Argon ","S ","[Ne]3s23p4 ","3s23p4 "," 3P2 ","3p3 4S°3/2 ","  [40.735]                 ",0.012," L8114 "
18,"Ar IV ",3,"Argon ","P ","[Ne]3s23p3 ","3s23p3 "," 4S°3/2 ","3p2 3P0 ","  [59.58]                  ",0.18," L11770 "
18,"Ar V ",4,"Argon ","Si ","[Ne]3s23p2 ","3s23p2 "," 3P0 ","3p 2P°1/2 ","  [74.84]                  ",0.17," L11770 "
18,"Ar VI ",5,"Argon ","Al ","[Ne]3s23p ","3s23p "," 2P°1/2 ","3s2 1S0 ",91.29,0.01," L12277 "
18,"Ar VII ",6,"Argon ","Mg ","[Ne]3s2 ","2p63s2 "," 1S0 ","3s 2S1/2 ","  [124.41]                  ",0.06," L11770 "
18,"Ar VIII ",7,"Argon ","Na ","[Ne]3s ","2p63s "," 2S1/2 ","2p6 1S0 ","  [143.4567]                ",0.0012," L4344 "
18,"Ar IX ",8,"Argon ","Ne ","1s22s22p6 ","2s22p6 "," 1S0 ","2p5 2P°3/2 ","  [422.60]                  ",0.06," L11770 "
18,"Ar X ",9,"Argon ","F ","1s22s22p5 ","2s22p5 "," 2P°3/2 ","2p4 3P2 ","  [479.76]                  ",0.12," L11242c99 "
18,"Ar XI ",10,"Argon ","O ","1s22s22p4 ","2s22p4 "," 3P2 ","2p3 4S°3/2 ","  [540.4]                   ",0.6," L11770 "
18,"Ar XII ",11,"Argon ","N ","1s22s22p3 ","2s22p3 "," 4S°3/2 ","2p2 3P0 ","  [619.0]                   ",0.4," L11770 "
18,"Ar XIII ",12,"Argon ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2p 2P°1/2 ","  [685.5]                   ",0.3," L11770 "
18,"Ar XIV ",13,"Argon ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ","  [755.13]                  ",0.22," L11770 "
18,"Ar XV ",14,"Argon ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ","  [855.5]                   ",0.3," L11770 "
18,"Ar XVI ",15,"Argon ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ","  (918.375)                 ",0.007," L16264c99 "
18,"Ar XVII ",16,"Argon ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  (4 120.6657)                ",0.0004," L12128 "
18,"Ar XVIII ",17,"Argon ","H ","1s ","1s "," 2S1/2 "," ","  (4 426.2229)                ",0.0007," L7188 "
19,"K I ",0,"Potassium ","K ","[Ar]4s ","3p64s "," 2S1/2 ","3p6 1S0 ",4.34066373,9E-08," L5451,L5783,L7185 "
19,"K II ",1,"Potassium ","Ar ","[Ne]3s23p6 ","3p6 "," 1S0 ","3p5 2P°3/2 ",31.625,0.00019," L12188 "
19,"K III ",2,"Potassium ","Cl ","[Ne]3s23p5 ","3s23p5 "," 2P°3/2 ","3p4 3P2 ","  [45.8031]                 ",0.0017," L11770 "
19,"K IV ",3,"Potassium ","S ","[Ne]3s23p4 ","3s23p4 "," 3P2 ","3p3 4S°3/2 ","  [60.917]                  ",0.019," L11770 "
19,"K V ",4,"Potassium ","P ","[Ne]3s23p3 ","3s23p3 "," 4S°3/2 ","3p2 3P0 ","  [82.66]                   ",0.16," L241 "
